GR	ROPA	PE	CALX	Rt	Rxo	CNC	DT12	ZDEN
43.368	16.811	3.6	205.396	43.026	27.672	13.142	234.608	2.663
43.364	16.811	3.6	205.396	43.625	28.544	12.602	238.074	2.663
43.364	16.811	3.6	205.345	43.625	28.544	12.338	239.767	2.663
43.364	16.811	3.569	205.321	43.625	28.544	12.338	253.912	2.663
43.364	16.811	3.554	205.321	43.625	28.544	12.338	260.82	2.658
45.112	16.811	3.554	205.321	41.037	27.091	12.338	265.892	2.655
37.966	12.947	4.517	207.407	46.083	34.834	11.524	231.867	2.653
40.023	11.591	3.991	207.382	42.409	32.473	12.16	235.227	2.653
40.023	11.591	3.696	207.382	42.409	32.473	12.471	235.227	2.64
40.023	11.591	3.677	207.382	42.409	32.473	12.471	235.227	2.634
40.023	11.591	3.677	207.305	42.409	32.473	12.471	242.448	2.634
50.164	11.591	3.677	207.267	42.409	18.985	12.471	245.974	2.634
54.455	8.705	3.677	208.79	24.592	12.398	12.471	245.974	2.634
54.131	8.705	3.731	209.533	16.917	12.343	13.784	246.026	2.634
54.131	8.705	3.758	209.533	17.418	12.315	13.827	246.84	2.634
54.131	9.211	3.929	209.533	17.418	12.315	13.534	247.225	2.634
51.822	9.211	4.012	209.533	21.064	12.492	13.534	251.568	2.623
43.788	9.211	4.074	209.533	22.845	12.578	13.113	253.689	2.617
40.414	9.211	4.105	211.015	28.264	12.033	12.907	253.689	2.617
40.414	9.211	4.105	211.738	30.911	11.766	12.907	253.689	2.617
37.417	9.211	4.105	211.738	30.911	11.766	11.866	247.381	2.625
35.953	9.211	4.105	211.738	30.911	11.766	11.073	244.3	2.629
35.953	9.211	4.316	212.275	44.637	15.988	10.934	244.3	2.629
35.953	10.493	4.419	212.537	51.34	18.05	10.934	244.3	2.629
33.658	10.493	4.419	212.537	51.34	18.05	10.934	226.273	2.662
57.6	17.297	2.92	203.104	18.366	17.761	14.223	248.599	2.641
68.34	17.297	2.92	203.104	17.254	15.988	15.598	248.599	2.641
73.585	17.297	2.92	203.104	17.254	15.988	16.269	248.599	2.641
73.585	17.297	2.92	203.104	17.254	15.988	16.269	248.599	2.629
73.585	15.006	2.92	202.934	17.254	15.988	16.269	248.599	2.623
73.585	15.006	3.036	202.851	17.254	15.988	16.269	248.599	2.623
71.529	15.006	3.092	202.851	17.254	15.988	16.269	259.752	2.624
70.525	15.006	3.092	202.851	18.418	13.362	17.228	265.199	2.625
70.525	13.077	3.092	202.851	18.986	12.08	17.697	265.199	2.625
70.525	13.077	3.092	202.851	18.986	12.08	17.697	265.199	2.625
70.525	13.077	3.311	202.469	18.986	12.08	17.697	265.199	2.624
70.525	13.077	3.418	202.283	23.604	14.488	17.697	250.656	2.624
70.525	14.014	3.418	202.283	25.859	15.664	17.697	243.554	2.624
43.594	14.014	3.418	202.283	25.38	15.014	14.919	243.554	2.624
66.136	15.152	3.131	229.165	297.273	210.772	13.023	224.523	2.632
66.136	15.152	3.131	229.165	292.178	146.405	13.023	250.453	2.632
66.136	15.152	3.019	229.165	233.649	146.405	13.023	250.453	2.632
66.136	15.152	2.897	229.165	233.649	146.405	13.023	250.453	2.63
66.839	15.152	2.897	229.165	223.896	146.405	13.023	250.453	2.61
74.908	15.152	2.897	229.165	109.333	146.405	13.205	250.453	2.61
74.908	15.152	2.897	229.315	80.333	146.405	15.295	252.924	2.61
74.908	11.189	2.897	231.043	80.333	146.405	15.295	281.315	2.61
74.908	11.189	2.897	231.043	80.333	146.405	15.295	281.315	2.61
74.908	11.189	2.897	231.043	80.333	146.405	15.29	281.315	2.61
75.047	11.189	2.95	231.014	80.373	135.886	15.226	280.767	2.606
76.648	10.375	3.007	230.682	80.828	15.044	15.226	274.47	2.551
76.648	10.375	3.007	230.682	80.828	15.044	15.226	274.47	2.551
76.648	10.375	3.007	230.682	80.828	15.044	15.226	274.47	2.551
76.648	10.375	3.007	230.682	107.301	17.226	15.226	274.47	2.551
76.648	18.983	3.087	230.291	411.414	42.288	15.448	274.47	2.546
74.703	18.983	3.172	225.795	411.414	42.288	18.005	274.47	2.492
52.361	18.983	3.172	225.795	411.414	42.288	18.005	278.072	2.492
52.361	18.983	3.172	225.795	411.414	42.288	18.005	319.451	2.492
52.361	20.657	3.294	225.795	411.414	42.288	18.005	319.451	2.492
52.361	20.657	3.425	225.795	411.414	42.288	17.785	319.071	2.492
28.069	12.176	3.605	203.47	34.36	33.271	11.21	236.235	2.651
28.069	12.176	3.67	203.471	34.36	33.271	11.21	236.235	2.651
27.524	14.264	3.701	203.471	34.36	33.271	11.21	236.235	2.65
27.258	14.264	3.701	203.471	30.693	33.271	10.834	244.272	2.649
27.258	14.264	3.868	203.471	28.902	33.271	10.65	248.197	2.649
27.258	14.264	3.994	203.471	28.902	37.932	10.65	246.43	2.649
27.414	14.264	4.015	203.431	28.902	40.209	10.65	245.567	2.649
27.49	18.471	4.015	203.412	28.902	40.209	10.65	242.074	2.649
27.49	18.471	4.015	203.412	35.09	49.728	10.65	240.369	2.649
27.49	18.471	4.015	203.412	38.112	54.376	9.402	240.369	2.67
51.594	16.136	3.401	203.989	34.7	42.324	10.939	230.705	2.665
52.716	16.136	3.401	203.989	30.642	35.694	11.279	232.502	2.665
52.716	15.785	3.57	203.989	28.66	32.455	11.484	232.502	2.665
52.716	15.785	3.652	204.097	28.66	32.455	11.585	232.502	2.665
52.716	15.785	3.652	204.15	28.66	32.455	11.585	235.275	2.665
49.129	15.785	3.652	204.15	34.185	38.386	11.585	236.629	2.668
47.377	14.073	3.856	204.15	36.884	41.283	11.203	236.629	2.669
47.377	14.073	3.956	204.132	36.884	41.283	11.016	236.629	2.669
27.507	14.997	2.753	215.142	12.227	17.869	19.454	249.087	2.489
27.507	14.997	2.638	215.171	11.205	17.869	19.454	255.91	2.489
31.818	14.997	2.638	215.171	11.205	11.683	19.454	255.91	2.489
35.198	14.997	2.416	215.171	11.205	6.833	19.454	255.91	2.489
35.198	14.997	2.378	215.382	10.041	5.904	19.454	284.908	2.441
35.198	14.997	2.378	215.548	9.129	5.176	20.937	307.642	2.404
38.157	14.997	2.378	215.548	9.129	5.176	22.1	307.642	2.404
40.478	14.997	2.378	215.548	9.129	5.176	22.1	319.451	2.404
40.478	14.997	2.378	215.548	9.129	5.176	22.1	328.709	2.404
40.478	17.118	2.378	215.548	9.129	5.176	22.1	328.709	2.404
46.406	17.118	2.378	215.622	9.129	5.176	29.825	328.709	2.404
51.054	17.118	2.378	215.68	9.129	5.176	35.881	328.709	2.299
50.87	17.118	1.863	215.68	5.326	2.918	35.881	328.709	2.217
50.726	17.118	1.776	215.68	2.346	1.147	35.881	328.709	2.217
50.726	17.118	1.78	215.88	20.132	1.13	36.52	328.709	2.217
50.726	17.118	1.781	216.037	34.077	1.117	37.021	362.756	2.211
48.992	17.118	1.778	216.064	34.077	1.117	37.021	389.448	2.206
47.633	24.028	1.777	216.085	34.077	1.088	37.711	389.448	2.193
47.633	24.028	2.514	216.085	34.077	1.067	38.253	390.183	2.199
47.633	24.028	2.638	216.085	34.077	1.069	37.997	390.76	2.211
47.633	24.028	2.638	216.128	34.077	1.069	37.796	390.76	2.211
47.633	24.028	2.638	216.161	34.077	1.091	37.796	386.82	2.211
47.633	24.028	2.638	216.161	34.077	4.372	37.547	383.731	2.211
43.79	24.028	2.638	216.217	34.077	6.93	37.352	383.731	2.211
40.778	24.028	2.638	216.261	34.077	6.93	29.838	383.731	2.211
40.778	23.489	2.933	216.261	34.077	6.93	23.947	383.731	2.231
40.778	23.489	2.983	216.221	34.077	6.93	23.947	383.731	2.247
39.457	23.489	2.983	216.191	34.077	6.93	23.947	347.621	2.247
38.422	23.489	2.983	216.191	34.077	6.93	23.947	319.312	2.317
38.422	20.804	2.983	215.444	34.077	6.93	23.947	319.312	2.372
38.422	20.804	3.471	214.859	34.077	6.93	23.947	319.312	2.372
34.872	20.804	3.554	214.859	34.077	6.93	23.947	319.312	2.372
32.09	20.804	3.554	214.859	34.077	6.93	21.821	291.63	2.372
32.09	21.689	3.622	214.219	38.577	6.93	20.155	269.929	2.408
58.662	43.866	2.129	216.772	41.79	22.584	21.783	253.824	2.502
61.751	38.636	1.957	216.772	41.79	22.584	24.25	253.824	2.502
61.751	38.636	1.803	216.772	41.79	22.584	24.25	281.256	2.502
61.751	38.636	1.803	216.808	26.438	14.094	24.623	305.844	2.424
63.127	38.636	1.803	216.84	12.678	6.485	24.957	305.844	2.353
64.361	38.636	1.803	216.84	12.78	6.396	25.596	302.48	2.353
64.361	38.636	1.84	216.847	12.871	6.316	26.168	299.464	2.353
64.361	38.636	1.873	216.853	12.871	6.316	26.385	303.422	2.353
64.361	38.636	1.873	216.853	12.345	5.924	26.579	306.969	2.343
61.647	22.443	1.873	216.851	11.873	5.573	26.579	308.184	2.334
59.215	22.443	1.873	216.85	11.873	5.573	27.482	309.274	2.334
59.215	22.443	1.839	216.85	11.873	5.573	28.291	310.074	2.334
59.215	22.443	1.808	216.869	11.873	5.573	28.291	310.791	2.334
60.271	22.443	1.808	216.886	11.873	5.573	28.291	310.791	2.333
